id,y_true,pred_M0,pred_M1,pred_M2,pred_M3
233,1,1,1,1,1
234,36,39,36,36,36
235,27,39,27,27,27
236,4,1,4,4,4
237,7,7,7,7,7
238,20,39,20,20,20
239,8,3,8,8,8
240,7,8,7,7,7
241,10,2,10,2,10
242,39,39,39,39,39
243,6,8,6,6,6
244,24,0,0,0,0
245,12,39,12,12,12
246,33,6,33,33,33
247,28,24,28,28,28
248,1,1,1,1,1
249,2,2,2,2,2
250,46,1,46,46,46
251,39,39,39,39,39
252,0,0,0,0,0
253,3,3,3,3,3
254,34,9,34,34,34
255,26,2,44,9,9
256,2,3,2,2,2
257,7,7,7,7,7
258,42,39,42,42,42
259,7,8,7,7,7
260,1,4,1,1,1
261,39,0,39,39,39
262,21,1,1,1,1
263,25,4,25,25,25
264,6,6,6,6,6
265,7,1,7,7,7
266,0,0,0,0,0
267,22,39,22,22,22
268,7,7,7,7,7
269,39,39,39,39,39
270,7,7,7,7,7
271,23,39,23,23,23
272,38,3,38,38,38
273,19,3,19,19,19
274,28,6,28,28,28
275,28,6,28,28,28
276,2,2,2,2,2
277,2,7,2,2,2
278,31,4,31,31,31
279,9,4,9,9,9
280,1,1,1,1,1
281,28,6,28,28,28
282,8,8,8,8,8
283,2,8,2,2,2
284,6,6,6,6,6
285,24,3,0,0,0
286,5,39,5,5,5
287,29,7,29,29,29
288,41,9,44,41,44
289,8,8,8,8,8
290,22,39,22,22,22
291,33,1,33,33,33
292,2,2,2,2,2
293,8,8,8,8,8
294,45,39,45,45,45
295,2,3,2,2,2
296,6,6,6,6,6
297,15,8,15,15,15
298,0,0,0,0,0
299,2,0,2,2,2
300,0,39,43,24,43
301,37,6,37,37,6
302,46,1,46,46,46
303,39,39,39,39,39
304,3,6,3,3,3
305,3,3,3,8,9
306,4,8,4,4,4
307,4,3,4,4,4
308,9,4,9,9,9
309,18,1,1,1,1
310,9,9,9,9,9
311,8,8,8,24,8
312,3,3,3,3,3
313,25,8,25,25,25
314,39,39,39,39,39
315,1,8,1,1,1
316,46,8,46,46,46
317,21,1,1,1,1
318,0,0,0,0,0
319,6,6,6,6,6
320,8,8,8,8,8
321,3,0,2,2,2
322,23,8,23,23,23
323,23,0,23,23,23
324,21,8,1,1,1
325,9,3,9,9,9
326,36,39,39,36,27
327,3,3,3,3,3
328,30,0,30,30,30
329,5,6,5,5,5
330,4,8,4,4,4
331,46,6,46,46,46
332,39,39,39,39,39
333,22,39,22,22,22
334,3,9,3,3,3
335,3,3,3,3,3
336,9,9,9,9,9
337,35,2,35,35,35
338,29,6,29,29,29
339,9,9,9,9,9
340,35,24,3,3,3
341,3,3,3,3,3
342,0,0,0,0,0
343,32,2,32,32,32
344,3,6,3,3,3
345,2,2,2,2,2
346,34,1,34,34,34
347,21,1,18,18,18
348,4,4,4,4,4
349,3,3,3,3,3
350,8,3,8,8,8
351,8,39,8,8,8
352,39,39,39,39,39
353,32,43,32,32,32
354,39,39,39,39,39
355,0,0,0,0,0
356,34,8,34,34,34
357,12,0,12,12,12
358,0,6,0,0,0
359,39,0,39,39,39
360,5,6,5,5,5
361,46,1,46,46,46
362,31,4,30,30,30
363,32,8,32,32,32
364,6,6,6,6,6
365,10,43,10,10,10
366,42,8,42,42,42
367,7,7,7,7,7
368,0,0,0,0,0
369,8,8,8,8,8
370,0,0,0,0,0
371,2,6,2,2,2
372,8,8,8,8,8
373,1,1,1,1,1
374,46,1,46,46,46
375,6,24,6,6,6
376,29,7,29,29,29
377,9,4,9,9,9
378,29,39,29,45,45
379,41,8,41,41,41
380,6,6,6,6,6
381,6,6,6,6,6
382,28,39,28,5,28
383,16,5,16,16,16
384,29,7,29,29,29
385,29,8,29,29,29
386,46,8,46,46,46
387,40,8,15,15,15
388,30,39,30,30,30
389,46,6,46,46,46
390,24,0,0,0,0
391,2,2,2,2,2
392,3,3,3,3,3
393,38,8,38,38,38
394,0,0,0,0,0
395,45,39,45,45,45
396,37,3,37,37,6
397,35,2,35,35,35
398,45,39,45,45,45
399,33,1,33,33,33
400,41,9,9,9,9
401,28,3,28,28,28
402,39,39,39,39,39
403,8,6,5,5,5
404,26,5,36,26,26
405,8,2,8,8,8
406,43,39,43,43,43
407,30,39,30,30,30
408,3,3,3,3,3
409,9,4,9,9,9
410,36,8,36,36,36
411,9,9,9,9,9
412,43,8,43,43,43
413,2,2,2,2,2
414,1,1,1,1,1
415,4,3,4,4,4
416,34,6,34,19,34
417,46,8,46,46,46
418,10,43,10,10,10
419,3,3,3,3,3
420,30,39,30,30,30
421,8,8,8,8,8
422,11,8,11,11,11
423,6,24,6,6,6
424,29,8,29,29,29
425,9,8,9,9,9
426,45,6,45,45,45
427,46,1,46,46,46
428,21,1,21,1,21
429,20,39,20,20,20
430,24,24,24,24,24
431,2,2,2,2,2
432,0,0,0,0,0
433,31,4,31,31,31
434,28,0,28,5,28
435,27,8,27,8,27
436,4,8,4,4,4
437,1,1,1,1,1
438,21,1,1,1,1
439,38,4,38,38,38
440,9,0,9,9,9
441,28,24,28,28,28
442,21,1,1,1,1
443,12,2,12,12,12
444,7,7,7,7,7
445,8,8,8,8,8
446,32,2,32,30,32
447,8,8,8,8,8
448,38,2,38,38,38
449,9,4,9,9,9
450,3,0,3,3,3
451,28,3,28,28,28
452,0,0,0,0,0
453,45,39,45,45,45
454,24,6,24,24,0
455,8,8,8,8,8
456,6,6,6,6,6
457,0,0,24,24,0
458,1,1,1,21,1
459,7,8,7,7,7
460,44,3,9,9,9
461,5,5,5,5,5
462,26,39,26,26,26
463,3,3,3,3,3
464,0,0,0,0,0
465,0,0,24,24,0
466,29,2,29,29,29
467,9,9,9,9,9
468,28,0,28,28,28
469,28,6,28,28,28
470,35,6,35,2,35
471,28,2,28,28,28
472,8,4,44,41,44
473,2,2,2,2,2
474,33,8,33,33,33
475,5,5,28,5,5
476,1,1,1,1,1
477,3,6,3,3,3
478,26,39,26,26,26
479,30,2,30,42,30
480,28,0,28,28,28
481,36,8,36,36,36
482,7,7,7,7,7
483,33,8,33,33,33
484,4,8,4,4,4
485,30,0,30,30,30
486,9,9,9,9,9
487,8,4,8,8,8
488,23,8,23,23,23
489,1,1,1,1,1
490,4,1,4,4,4
491,2,2,2,2,2
492,45,8,45,45,45
493,4,4,4,4,4
494,7,7,7,7,7
495,4,4,4,4,4
496,3,24,34,3,3
497,21,1,18,18,1
498,36,39,36,36,36
499,6,39,32,32,32
500,9,4,9,9,9
501,3,3,3,3,3
502,39,24,39,39,39
503,7,7,7,7,7
504,3,6,3,3,3
505,12,39,12,12,12
506,24,24,24,24,24
507,5,5,5,5,5
508,7,9,7,7,7
509,8,8,8,8,8
510,6,6,6,6,6
511,39,39,39,39,39
512,24,0,0,24,0
513,6,3,6,6,6
514,37,6,37,37,37
515,21,2,21,21,21
516,21,1,1,1,1
517,3,3,3,3,3
518,38,8,38,38,38
519,7,7,7,7,7
520,25,0,25,25,25
521,7,7,7,7,7
522,27,43,27,27,27
523,25,8,25,25,25
524,41,9,9,9,9
525,8,1,8,8,8
526,18,1,1,1,1
527,9,4,9,9,9
528,3,3,3,3,3
529,38,6,38,38,38
530,8,3,8,8,8
531,5,1,5,5,5
532,45,39,45,45,45
533,12,0,12,12,12
534,33,4,33,33,33
535,10,8,10,10,10
536,27,39,27,27,27
537,35,24,2,3,3
538,29,7,29,29,29
539,12,6,12,12,12
540,1,1,1,1,1
541,33,8,33,33,33
542,6,6,6,6,6
543,24,0,24,24,0
544,11,0,11,11,11
545,35,39,35,2,2
546,3,3,3,3,3
547,33,6,33,33,33
548,34,8,34,34,34
549,12,6,12,12,12
550,41,3,41,41,41
551,1,1,1,1,1
552,28,0,28,28,28
553,3,3,3,3,3
554,1,8,8,1,1
555,8,2,8,8,8
556,2,2,2,2,2
557,16,2,16,16,16
558,29,8,29,29,29
559,18,1,18,18,18
560,3,2,3,3,3
561,8,8,8,8,8
562,24,0,24,0,0
563,43,0,43,43,43
564,5,5,5,5,5
565,28,6,28,28,28
566,34,8,34,34,34
567,4,8,4,4,4
568,28,24,28,28,28
569,23,4,23,23,23
570,45,8,45,45,45
571,0,0,0,0,0
572,26,2,26,26,26
573,0,24,24,24,24
574,43,0,43,43,43
575,22,39,22,22,22
576,27,39,27,27,27
577,6,6,6,6,6
578,3,0,3,3,3
579,6,6,6,6,6
580,3,8,3,3,3
581,3,2,3,3,3
582,28,3,28,28,28
583,3,3,3,3,3
584,3,24,3,3,3
585,1,1,1,1,1
586,2,2,2,2,2
587,1,1,1,1,1
588,16,4,44,41,16
589,38,6,38,38,38
590,1,1,1,1,1
591,15,39,15,15,15
592,21,4,21,1,1
593,3,3,3,3,3
594,1,1,1,1,1
595,8,4,8,8,8
596,46,1,46,46,46
597,42,6,42,42,42
598,28,6,28,28,28
599,24,39,24,24,24
600,24,24,24,24,24
601,3,3,3,3,3
602,12,39,39,12,39
603,28,5,28,28,28
604,15,1,15,15,15
605,43,39,43,43,43
606,36,2,36,36,36
607,9,8,9,9,9
608,8,6,8,8,8
609,5,6,5,5,5
610,38,3,38,38,38
611,3,6,3,3,3
612,0,24,24,24,24
613,5,6,5,5,5
614,4,4,4,4,4
615,2,2,2,2,2
616,5,6,5,5,5
617,22,4,22,22,22
618,33,8,33,33,33
619,39,39,39,39,39
620,7,7,7,7,7
621,3,3,3,3,3
622,31,4,31,31,31
623,9,4,9,9,9
624,3,6,3,3,3
625,2,2,2,2,2
626,8,8,8,8,8
627,14,0,14,14,14
628,9,8,9,9,9
629,7,7,7,7,7
630,24,0,24,24,24
631,18,4,18,18,18
632,8,8,8,8,8
633,5,6,5,5,5
634,39,39,39,39,39
635,9,9,9,9,9
636,0,6,0,0,0
637,30,39,30,30,30
638,1,1,1,1,1
639,8,8,8,8,8
640,6,0,6,6,6
641,22,39,22,22,22
642,24,24,24,24,24
643,20,2,42,20,42
644,2,6,2,2,2
645,5,0,5,5,5
646,14,0,14,14,14
647,3,3,3,3,3
648,43,39,43,43,43
649,46,6,46,46,46
650,6,6,6,6,6
651,0,0,24,24,0
652,27,43,36,43,43
653,1,1,1,1,1
654,3,3,3,3,3
655,5,5,5,5,5
656,15,39,15,15,15
657,32,1,32,32,32
658,2,2,2,2,2
659,34,1,34,34,34
660,29,4,29,29,29
661,3,3,3,3,3
662,6,6,42,42,42
663,31,1,31,31,31
664,39,39,39,39,39
665,8,8,8,8,8
666,32,8,32,32,32
667,5,0,5,5,5
668,34,1,34,34,34
669,27,39,27,27,27
670,2,2,2,2,2
671,0,0,0,0,0
672,29,6,29,29,29
673,18,1,18,18,18
674,8,8,8,8,8
675,46,4,46,46,46
676,32,2,32,32,32
677,4,4,4,4,4
678,28,0,28,5,28
679,45,39,45,45,45
680,4,4,4,4,4
681,16,24,16,16,16
682,11,8,11,11,11
683,8,2,8,8,8
684,39,8,39,39,39
685,39,39,39,39,39
686,6,6,6,6,6
687,28,39,28,28,28
688,39,39,39,39,39
689,9,7,9,9,9
690,39,39,39,39,39
691,2,2,2,2,2
692,3,8,3,3,3
693,14,39,14,14,14
694,1,1,1,1,1
695,1,1,1,1,1
696,13,24,13,13,24
697,2,8,2,2,2
698,12,39,12,12,12
699,4,4,4,4,4
700,1,1,1,1,1
701,35,2,35,35,35
702,31,39,31,31,45
703,15,8,15,15,15
704,0,0,0,0,0
705,30,4,31,30,31
706,3,3,3,3,3
707,8,2,8,8,8
708,4,4,4,4,4
709,9,8,9,9,9
710,2,2,2,2,2
711,1,1,1,1,1
712,18,6,1,1,1
713,5,6,5,5,5
714,46,4,46,46,46
715,4,4,4,4,4
716,4,8,4,4,4
717,39,39,39,39,39
718,0,24,24,0,0
719,0,0,0,0,0
720,3,6,3,3,3
721,32,0,32,32,32
722,4,4,4,4,4
723,7,7,7,7,7
724,25,8,25,25,25
725,10,4,10,10,10
726,39,39,39,39,39
727,23,6,23,23,23
728,5,0,5,5,5
729,24,0,0,0,0
730,43,39,43,43,43
731,9,0,9,9,9
732,9,4,9,9,9
733,7,7,7,7,7
734,0,0,0,0,0
735,7,8,7,7,7
736,4,41,4,4,4
737,1,1,1,1,1
738,37,3,37,37,37
739,7,4,4,40,40
740,39,39,39,39,39
741,8,8,8,8,8
742,25,39,25,25,25
743,2,2,2,2,2
744,12,0,12,12,12
745,22,39,22,22,22
746,9,2,9,9,9
747,1,1,1,1,1
748,7,7,7,7,7
749,2,6,2,2,2
750,1,8,1,1,1
751,3,2,3,3,3
752,36,0,36,24,24
753,9,9,9,9,9
754,18,1,1,1,1
755,1,1,1,1,1
756,0,0,0,0,0
757,33,8,33,33,33
758,44,6,26,26,26
759,3,3,3,3,3
760,9,7,9,9,9
761,9,3,9,9,9
762,37,3,37,37,37
763,12,0,24,45,0
764,5,6,5,5,5
765,1,1,19,38,19
766,9,4,9,9,9
767,8,8,8,8,8
768,4,4,4,4,4
769,22,4,22,22,22
770,9,9,9,9,9
771,2,2,2,2,2
772,9,4,9,9,9
773,3,3,3,3,3
774,9,9,9,9,9
775,3,3,3,3,3
776,35,5,2,35,35
777,6,6,6,6,6
778,0,0,0,0,0
779,6,6,6,6,6
780,5,5,5,5,5
781,6,3,6,6,6
782,12,39,12,12,12
783,24,24,24,24,24
784,24,24,24,24,24
785,4,4,4,4,4
786,39,39,39,39,39
787,5,6,5,5,5
788,28,5,28,5,28
789,18,1,1,1,1
790,43,39,43,43,43
791,24,24,24,24,24
792,24,0,0,24,0
793,0,0,24,24,0
794,3,3,3,3,3
795,4,4,4,4,4
796,42,3,42,42,42
797,12,39,12,12,12
798,4,4,4,4,4
799,36,24,36,36,36
800,21,1,1,1,1
801,7,1,7,7,25
802,5,6,5,5,5
803,7,7,7,7,7
804,1,1,1,1,1
805,15,8,15,15,15
806,21,4,21,21,21
807,1,1,1,1,1
808,22,39,22,22,22
809,0,0,24,24,0
810,2,2,2,2,2
811,24,0,24,24,24
812,4,4,4,4,4
813,6,6,6,6,6
814,22,39,22,22,22
815,7,7,7,7,7
816,0,2,0,0,0
817,4,4,4,4,4
818,2,2,2,2,2
819,9,7,9,9,9
820,19,6,19,18,19
821,40,8,15,15,15
822,20,39,20,20,20
823,5,0,5,5,5
824,46,6,46,46,46
825,42,39,42,42,42
826,4,4,4,4,4
827,45,8,45,45,45
828,1,3,1,1,1
829,5,0,5,5,5
830,3,3,3,3,3
831,9,8,9,9,9
832,27,39,27,27,27
833,6,6,6,6,6
834,39,39,39,39,39
835,36,2,36,36,36
836,23,0,23,23,23
837,4,8,4,4,4
838,1,1,1,1,1
839,1,8,1,1,1
840,8,8,8,8,8
841,43,0,43,43,43
842,4,4,4,4,4
843,26,0,26,26,26
844,30,0,30,30,30
845,21,6,21,21,21
846,19,6,19,19,19
847,15,8,25,25,25
848,9,4,9,9,9
849,32,39,32,32,32
850,43,0,43,43,43
851,0,0,0,0,0
852,7,8,7,7,7
853,24,0,0,0,0
854,7,7,7,7,7
855,10,39,10,10,10
856,4,4,4,4,4
857,14,6,14,6,14
858,9,8,9,9,9
859,3,3,3,3,3
860,13,0,0,0,13
861,40,39,15,15,15
862,39,4,39,39,39
863,39,39,39,39,39
864,1,8,1,1,1
865,21,8,1,1,1
866,3,8,3,3,3
867,34,1,34,34,34
868,4,4,4,4,4
869,3,7,3,3,3
870,0,0,0,0,0
871,1,8,1,1,1
872,8,8,8,8,8
873,24,24,24,24,24
874,46,9,46,46,46
875,7,8,7,7,7
876,14,0,14,14,14
877,18,1,18,18,18
878,8,8,8,8,8
879,36,0,36,36,36
880,22,8,22,30,22
881,5,5,5,5,5
882,12,39,12,12,12
883,39,39,39,39,39
884,14,39,14,14,14
885,21,1,1,1,1
886,0,3,0,0,0
887,29,0,29,29,29
888,3,3,3,3,3
889,0,0,0,0,0
890,1,1,1,1,1
891,0,0,0,0,0
892,1,1,1,1,1
893,33,1,33,34,33
894,6,6,6,6,6
895,21,1,1,1,1
896,2,6,2,2,2
897,45,39,45,45,45
898,3,3,3,3,3
899,25,7,25,25,25
900,2,2,2,2,2
901,2,2,2,2,2
902,21,1,1,1,1
903,16,3,16,16,16
904,43,39,43,43,43
905,2,2,2,2,2
906,9,2,9,9,9
907,7,7,7,7,7
908,2,2,2,2,2
909,21,1,1,1,1
910,8,8,8,8,8
911,18,1,1,1,1
912,46,6,46,46,46
913,39,39,39,39,39
914,11,2,11,11,11
915,33,4,33,33,33
916,8,8,8,8,8
917,3,6,3,3,3
918,46,1,46,46,46
919,12,0,12,12,12
920,1,8,1,1,1
921,40,8,15,40,40
922,32,39,32,32,32
923,4,4,4,4,4
924,18,1,18,18,18
925,21,1,1,18,1
926,27,39,27,27,27
927,10,3,10,10,10
928,0,0,0,37,0
929,11,2,3,3,3
930,1,1,1,1,1
931,37,1,37,42,42
932,21,1,1,1,1
933,34,4,34,34,34
934,1,1,1,1,1
935,9,4,9,9,9
936,13,24,13,24,24
937,3,3,3,3,3
938,9,8,9,9,9
939,1,1,1,1,1
940,4,8,4,4,4
941,10,3,10,10,10
942,3,0,3,3,3
943,14,39,14,14,14
944,5,12,5,5,5
945,45,39,45,45,45
946,8,8,8,8,8
947,3,3,3,3,3
948,0,0,0,0,0
949,43,39,43,43,43
950,3,3,3,3,3
951,29,7,29,29,29
952,7,3,7,7,7
953,3,3,3,3,3
954,3,3,3,3,3
955,0,0,0,24,0
956,24,24,24,24,24
957,30,39,30,30,30
958,12,0,12,12,12
959,12,0,12,12,12
960,21,1,18,18,1
961,8,8,8,8,8
962,1,1,1,1,1
963,24,0,24,24,24
964,22,39,22,22,22
965,18,1,18,18,18
966,8,8,8,8,8
967,4,3,4,4,4
968,28,6,28,28,28
969,36,24,36,36,36
970,7,7,7,7,7
971,34,4,31,45,45
972,43,0,43,43,43
973,1,1,1,1,1
974,3,6,3,3,3
975,45,39,45,45,45
976,5,0,5,5,5
977,46,8,46,46,46
978,36,39,39,36,36
979,43,0,43,43,43
980,3,1,3,3,3
981,4,4,4,4,4
982,1,1,1,1,1
983,24,24,24,24,24
984,39,39,39,39,39
985,43,8,43,43,43
986,2,2,2,2,2
987,15,8,15,15,15
988,5,6,5,5,5
989,18,1,1,1,1
990,3,3,3,3,3
991,38,0,38,38,38
992,24,0,0,0,0
993,2,2,2,2,2
994,14,6,14,14,14
995,46,6,46,46,46
996,24,6,0,0,0
997,20,39,20,20,20
998,1,1,1,1,1
999,39,39,39,39,39
1000,23,39,23,23,23
1001,7,7,7,7,7
1002,7,7,7,7,7
1003,23,2,17,23,17
1004,9,7,44,9,9
1005,9,9,9,9,9
1006,31,4,30,31,31
1007,33,8,33,20,33
1008,8,8,8,8,8
1009,23,2,23,23,23
1010,45,39,45,45,45
1011,26,2,26,26,26
1012,2,2,2,2,2
1013,43,39,45,45,45
1014,1,1,1,1,1
1015,2,2,2,2,2
1016,27,8,27,27,27
1017,22,39,22,22,22
1018,27,39,27,27,27
1019,36,39,36,36,36
1020,7,7,7,7,7
1021,39,39,39,39,39
1022,6,24,6,6,6
1023,5,39,5,5,5
1024,21,1,1,21,1
1025,4,4,4,4,4
1026,39,24,36,24,36
1027,8,8,8,8,8
1028,32,0,32,32,32
1029,31,8,31,31,45
1030,38,1,38,38,38
1031,34,8,34,34,34
1032,25,8,25,25,25
1033,30,0,30,30,30
1034,32,2,32,32,32
1035,24,0,0,0,0
1036,21,1,1,1,1
1037,29,39,29,29,29
1038,5,8,5,5,5
1039,5,0,28,5,28
1040,36,2,36,36,36
1041,46,1,46,46,46
1042,24,0,0,0,0
1043,18,1,1,1,1
1044,28,6,28,28,28
1045,25,8,25,25,25
1046,1,1,1,1,1
1047,43,39,43,43,43
1048,4,4,4,4,4
1049,3,8,3,3,3
1050,43,1,43,43,43
1051,46,8,46,46,46
1052,6,6,6,6,6
1053,24,0,0,0,0
1054,4,39,4,4,4
1055,3,3,3,3,3
1056,7,9,7,7,7
1057,8,8,8,8,8
1058,21,1,1,21,1
1059,28,4,28,28,28
1060,5,3,5,5,5
1061,41,6,8,41,34
1062,11,3,11,11,11
1063,2,2,2,2,2
1064,3,3,3,3,3
1065,39,39,39,39,39
1066,6,6,6,6,6
1067,9,3,9,9,9
1068,30,3,30,30,30
1069,2,2,2,2,2
1070,28,6,28,28,28
1071,30,0,30,30,30
1072,25,7,25,25,25
1073,3,3,3,3,3
1074,45,39,45,45,45
1075,18,2,18,18,18
1076,39,8,39,39,39
1077,44,9,44,44,44
1078,3,3,3,3,3
1079,28,4,5,28,28
1080,22,39,22,22,22
1081,36,4,36,36,36
1082,1,1,1,1,1
1083,32,8,32,32,32
1084,2,7,2,2,2
1085,8,8,8,8,8
1086,4,4,4,4,4
1087,24,24,24,24,24
1088,45,39,45,45,45
1089,2,2,35,35,2
1090,4,4,4,4,4
1091,6,6,6,6,6
1092,4,8,4,4,4
1093,5,5,5,5,5
1094,2,2,2,2,2
1095,7,7,7,7,7
1096,0,0,0,0,0
1097,2,2,2,2,2
1098,42,8,42,42,42
1099,18,1,18,18,18
1100,1,6,1,21,1
1101,3,2,3,3,3
1102,8,8,8,8,8
1103,22,7,22,22,22
1104,24,0,24,24,24
1105,4,8,4,4,4
1106,2,2,2,2,2
1107,9,8,9,9,9
1108,4,4,4,4,4
1109,32,2,32,32,32
1110,5,6,5,5,5
1111,42,2,42,42,42
1112,1,4,1,1,1
1113,43,0,43,43,43
1114,8,6,8,8,8
1115,8,8,8,8,8
1116,3,3,3,3,3
1117,29,6,29,29,29
1118,9,7,9,9,9
1119,9,9,9,9,9
1120,2,2,2,2,2
1121,25,8,25,25,25
1122,22,24,22,22,22
1123,3,3,3,3,3
1124,3,3,3,3,3
1125,1,1,1,1,1
1126,7,7,7,7,7
1127,46,4,46,46,46
1128,7,7,7,7,7
1129,38,8,38,38,38
1130,7,7,7,7,7
1131,30,24,30,30,30
1132,18,1,18,18,18
1133,22,39,22,22,22
1134,2,2,2,2,2
1135,3,1,3,3,3
1136,18,1,18,18,18
1137,24,24,24,24,24
1138,8,6,8,8,8
1139,2,5,44,12,12
1140,33,8,33,33,33
1141,32,43,32,32,17
1142,39,39,12,12,12
1143,21,1,21,21,1
1144,1,1,1,1,1
1145,3,0,3,3,3
1146,42,3,42,42,42
1147,7,39,45,45,45
1148,34,8,34,34,34
